tag,imputation_rule,n_hvg,n_pcs,n_perm_pipeline,n_draws_gaussian,real_raw_max_pers,real_pca_max_pers,real_pca_delta,z_raw_vs_pipeline,z_pca_vs_pipeline,p_raw_vs_pipeline,p_pca_vs_pipeline,z_raw_vs_gauss,z_pca_vs_gauss,p_raw_vs_gauss,p_pca_vs_gauss,pipeline_pca_delta_mean,pipeline_pca_delta_std,gauss_pca_delta_mean,gauss_pca_delta_std,gauss_delta_gte_real,pipeline_delta_gte_real,H1_supported_both_nulls,delta_from_center,compute_seconds
HVG1000_PC50_zero_np500,zero,1000,50,500,500,4.110858917236328,3.5086898803710938,-0.6021690368652344,13.216914970460582,4.905777968137463,0.001996007984031936,0.001996007984031936,27.601346010178023,5.074540349798931,0.001996007984031936,0.001996007984031936,0.7219673347473144,0.32893559492269375,1.2678441429138183,0.25223073110883604,True,True,True,1.3862075805664062,453.837769985199
HVG2000_PC100_zero_np500,zero,2000,100,500,500,3.8866729736328125,3.7410354614257812,-0.14563751220703125,15.802542512033748,2.862569138601235,0.001996007984031936,0.00998003992015968,24.287453248459876,3.0169584578622013,0.001996007984031936,0.00998003992015968,1.3538334884643555,0.39687398397555823,1.7681515808105468,0.3179709332178406,True,True,True,0.9296760559082031,2477.615863800049
HVG2000_PC10_zero_np500,zero,2000,10,500,500,3.8866729736328125,6.381570816040039,2.4948978424072266,15.802542512033748,13.40799701001313,0.001996007984031936,0.001996007984031936,24.287453248459876,14.02954675639474,0.001996007984031936,0.001996007984031936,1.0915733604431153,0.3470947009277389,1.4440744285583496,0.3027142320832394,False,False,False,1.7108592987060547,535.8825330734253
HVG2000_PC25_zero_np500,zero,2000,25,500,500,3.8866729736328125,5.163158416748047,1.2764854431152344,15.802542512033748,7.183884021054984,0.001996007984031936,0.001996007984031936,24.287453248459876,6.982479937025497,0.001996007984031936,0.001996007984031936,1.4298571796417237,0.37468300364914436,1.8666002082824706,0.34541207078174113,True,True,True,0.4924468994140625,894.5681738853455
HVG2000_PC50_drop_np500,drop,2000,50,500,500,4.301628112792969,4.733554840087891,0.4319267272949219,16.11272876813023,5.227282951013607,0.001996007984031936,0.001996007984031936,27.83509000605839,5.371937691850166,0.001996007984031936,0.001996007984031936,1.4955746917724608,0.3894769740623911,1.9961713027954102,0.33306512076600003,True,True,True,0.35211181640625,648.5962467193604
HVG2000_PC50_mean_np500,mean,2000,50,500,500,4.325042724609375,4.914478302001953,0.5894355773925781,16.560246405752697,5.822965216284495,0.001996007984031936,0.001996007984031936,28.035271976844207,5.9465111575214245,0.001996007984031936,0.001996007984031936,1.5509937133789062,0.3903756172784908,1.9961713027954102,0.33306512076600003,True,True,True,0.19460296630859375,760.97873711586
HVG2000_PC50_median_np500,median,2000,50,500,500,4.325042724609375,4.917816162109375,0.5927734375,18.729429564730395,6.090467632840029,0.001996007984031936,0.001996007984031936,28.035271976844207,5.957111473420521,0.001996007984031936,0.001996007984031936,1.5177224578857422,0.39022882110483803,1.9961713027954102,0.33306512076600003,True,True,True,0.19126510620117188,713.7008731365204
HVG2000_PC50_zero_np100,zero,2000,50,100,500,3.8866729736328125,4.670711517333984,0.7840385437011719,15.708397286162647,5.251526834446659,0.009900990099009901,0.009900990099009901,24.287453248459876,5.1723610014253465,0.001996007984031936,0.003992015968063872,1.4831869888305664,0.3824694024248178,1.9961713027954102,0.33306512076600003,True,True,True,0.0,336.6970889568329
HVG2000_PC50_zero_np1000,zero,2000,50,1000,500,3.8866729736328125,4.670711517333984,0.7840385437011719,15.518360103412235,5.13599215541781,0.000999000999000999,0.000999000999000999,24.287453248459876,5.1723610014253465,0.001996007984031936,0.003992015968063872,1.5202074451446532,0.38868036550894625,1.9961713027954102,0.33306512076600003,True,True,True,0.0,750.8196890354156
HVG2000_PC50_zero_np200,zero,2000,50,200,500,3.8866729736328125,4.670711517333984,0.7840385437011719,15.917173482639392,4.921863807937935,0.004975124378109453,0.004975124378109453,24.287453248459876,5.1723610014253465,0.001996007984031936,0.003992015968063872,1.5022335052490234,0.39913914603978684,1.9961713027954102,0.33306512076600003,True,True,True,0.0,389.1884069442749
HVG2000_PC50_zero_np2000,zero,2000,50,2000,500,3.8866729736328125,4.670711517333984,0.7840385437011719,15.200894611524234,5.124223175513179,0.0004997501249375312,0.0004997501249375312,24.287453248459876,5.1723610014253465,0.001996007984031936,0.003992015968063872,1.521978175163269,0.39292023780404084,1.9961713027954102,0.33306512076600003,True,True,True,0.0,1616.4909219741821
HVG2000_PC50_zero_np500,zero,2000,50,500,500,3.8866729736328125,4.670711517333984,0.7840385437011719,15.802542512033748,5.037304507566495,0.001996007984031936,0.001996007984031936,24.287453248459876,5.1723610014253465,0.001996007984031936,0.003992015968063872,1.5176780891418458,0.3912399743512143,1.9961713027954102,0.33306512076600003,True,True,True,0.0,681.4131348133087
HVG4000_PC100_zero_np500,zero,4000,100,500,500,4.341514587402344,6.7867279052734375,2.4452133178710938,20.35440180643499,6.636998186661812,0.001996007984031936,0.001996007984031936,28.218534810237905,7.117534074201541,0.001996007984031936,0.001996007984031936,2.358296615600586,0.5067505146091367,2.75439347076416,0.433190408128064,True,False,False,1.6611747741699219,1566.7978579998016
HVG4000_PC10_zero_np500,zero,4000,10,500,500,4.341514587402344,9.994024276733398,5.652509689331055,20.35440180643499,18.505535649800507,0.001996007984031936,0.001996007984031936,28.218534810237905,18.524383632392368,0.001996007984031936,0.001996007984031936,1.9558352241516113,0.39132934885833415,2.2146481609344484,0.38195881630172074,False,False,False,4.868471145629883,773.8803598880768
HVG4000_PC50_zero_np500,zero,4000,50,500,500,4.341514587402344,5.8654937744140625,1.5239791870117188,20.35440180643499,4.685925888352202,0.001996007984031936,0.001996007984031936,28.218534810237905,4.118064397432039,0.001996007984031936,0.005988023952095809,2.547043403625488,0.47848190712639654,3.009989906311035,0.45326077564867034,True,True,True,0.7399406433105469,1111.184240102768
HVG500_PC100_zero_np500,zero,500,100,500,500,3.2648963928222656,2.548189163208008,-0.7167072296142578,7.633128598941153,4.785584000568063,0.001996007984031936,0.001996007984031936,20.41448511496542,5.4200194847035315,0.001996007984031936,0.001996007984031936,-0.1098252296447754,0.26940811654465424,0.5994707946777343,0.1874300933220349,True,True,True,1.5007457733154297,3576.5242199897766
HVG500_PC10_zero_np500,zero,500,10,500,500,3.2648963928222656,4.627497673034668,1.3626012802124023,7.633128598941153,17.528253871669445,0.001996007984031936,0.001996007984031936,20.41448511496542,18.28919393463157,0.001996007984031936,0.001996007984031936,-0.19068107795715333,0.27296599818428696,0.5223264999389648,0.20203197754843355,False,False,False,0.5785627365112305,1219.5318350791931
HVG500_PC50_zero_np500,zero,500,50,500,500,3.2648963928222656,2.096364974975586,-1.1685314178466797,7.633128598941153,1.7565925135780187,0.001996007984031936,0.05189620758483034,20.41448511496542,1.442770599664391,0.001996007984031936,0.08582834331337326,0.05924829864501953,0.27869326343073353,0.8058501319885254,0.22813454659279667,True,True,True,1.9525699615478516,979.508866071701
