PC,r_with_confound,p_value,tier
1,-0.9995208832709924,6.466580862854076e-174,identical
2,-0.011374662315888844,0.9035436778721615,free
3,-0.023650984883892726,0.8010367944790937,free
4,0.008321502108025566,0.9293551140457142,free
5,-0.005856713005054393,0.9502473706624581,free
6,0.008371907319590957,0.9289283172701479,free
7,-0.0034253205609629162,0.9708897314009726,free
8,0.007622429299413548,0.9352763975465064,free
9,0.0021574982453002314,0.9816619642117823,free
10,0.00014061213842847553,0.998804738992474,free
11,0.0004179650782538051,0.9964471352089086,free
12,-0.0011521126845224976,0.9902068073778674,free
13,0.0023068296826662163,0.9803929393783251,free
14,-0.0010908157891298057,0.9907278196857154,free
15,0.0009507270262517666,0.9919185626336803,free
16,0.0010103716391657914,0.9914115860123461,free
17,-0.0003342809329322697,0.9971584794655445,free
18,-0.0004365707040021472,0.9962889812966748,free
19,0.00202945519696062,0.9827501160062199,free
20,0.0013966806164135079,0.9881280682516473,free
21,0.0008466284015254675,0.9928034040198468,free
22,0.0002938474236861073,0.9975021791493606,free
23,-0.00023526818047118472,0.9980001250332372,free
24,0.0008548332096530841,0.992733662577224,free
25,9.195168813736637e-05,0.9992183726678766,free
26,-0.00017534760426686198,0.9985094735522222,free
27,0.00012928458477094208,0.9989010277946359,free
28,-7.864900241068545e-06,0.9999331450886818,free
29,-5.6083086840227024e-05,0.9995232705480792,free
30,-0.0008198728461086165,0.9930308284853752,free
31,0.0003049847486596025,0.9974075077469373,free
32,-0.0008619972627270114,0.992672767670094,free
33,0.0005671447148298675,0.9951790638355311,free
34,-7.838919473208885e-05,0.9993336594354159,free
35,8.297488956078569e-05,0.9992946791431964,free
36,-0.0002534399631863842,0.9978456578661975,free
37,0.0002314619415749123,0.9980324795425503,free
38,0.00022994058449227802,0.9980454116696833,free
39,-7.649205112405036e-05,0.9993497859368757,free
40,-9.20828560170995e-06,0.9999217257564409,free
41,-2.5226348112972197e-05,0.9997855655893653,free
42,0.00024333168944210958,0.9979315820851562,free
43,-0.0002940239460418653,0.9975006786434438,free
44,0.00013522566732356283,0.9988505261803304,free
45,0.00017240323517380318,0.9985345018673355,free
46,8.800037420095123e-05,0.9992519604585975,free
47,-8.142406860301571e-06,0.9999307861674234,free
48,0.00033243785611528076,0.9971741462847922,free
49,0.00017890816179856736,0.9984792073908264,free
50,-1.0166716307017184e-05,0.9999135786982994,free
