dataset,layer,condition,null_model,z_score,p_raw,p_BH,reject_at_0.05_BH,passes_z_gt_3,H0_verdict
GSE146889 (2nd RNA-seq cohort),RNA-seq,Real raw HVG,Gaussian null (raw),44.87143207506016,0.0019960079840319,0.0024566252111161845,True,True,True
GSE146889 (2nd RNA-seq cohort),RNA-seq,Real raw HVG,Pipeline-symmetric null (raw),39.59169055362688,0.0004997501249375,0.0011422859998571429,True,True,True
GSE146889 (2nd RNA-seq cohort),RNA-seq,Real PCA50,Gaussian null (PCA50),12.015284946738172,0.0019960079840319,0.0024566252111161845,True,True,True
GSE146889 (2nd RNA-seq cohort),RNA-seq,Real PCA50,Pipeline-symmetric null (PCA50),11.368229586264569,0.0004997501249375,0.0011422859998571429,True,True,True
CPTAC-CCRCC (proteomics),Protein abundance,raw HVG vs Gaussian null,,23.17604324736248,0.0019960079840319,0.0024566252111161845,True,True,True
CPTAC-CCRCC (proteomics),Protein abundance,PCA50 vs Gaussian null,,4.404231624185004,0.0039920159680638,0.004562303963501485,True,True,True
CPTAC-CCRCC (proteomics),Protein abundance,raw HVG vs pipeline-symmetric null,,21.392656916854683,0.0004997501249375,0.0011422859998571429,True,True,True
CPTAC-CCRCC (proteomics),Protein abundance,PCA50 vs pipeline-symmetric null,,4.639708110100943,0.0004997501249375,0.0011422859998571429,True,True,True
TCGA-LUAD,RNA-seq,RNAseq_raw_gaussian,,58.67026477938185,0.0019960079840319,0.0024566252111161845,True,True,True
TCGA-LUAD,RNA-seq,RNAseq_raw_perm,,47.53047473264958,0.0004997501249375,0.0011422859998571429,True,True,True
TCGA-LUAD,RNA-seq,RNAseq_pca50_gaussian,,9.193785333857884,0.0019960079840319,0.0024566252111161845,True,True,True
TCGA-LUAD,RNA-seq,RNAseq_pca50_perm,,8.342252133966719,0.0004997501249375,0.0011422859998571429,True,True,True
TCGA-LUAD,Methylation,Methylation_raw_gaussian,,19.335349317137343,0.0019960079840319,0.0024566252111161845,True,True,True
TCGA-LUAD,Methylation,Methylation_raw_perm,,26.690670748923687,0.0004997501249375,0.0011422859998571429,True,True,True
TCGA-LUAD,Methylation,Methylation_pca35spectral_gaussian,,-0.1982334092968147,1.0,1.0,False,False,False
TCGA-LUAD,Methylation,Methylation_pca35spectral_perm,,-0.789158454894383,1.0,1.0,False,False,False
